VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	???????
14054	FACILITY	yonggwangro	Fornace di Ametista	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20071	3	1	1
14055	FACILITY	yonggwangro	Forn. Lacr. di Cielo	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20072	3	1	1
14061	FACILITY	himuijedan_01	Altare della Forza	-523.91	-995.84	527.55	750.99	0	0	360	25000000	90010,25/90011,25/90012,25	20077	4	1	1
14062	FACILITY	himuijedan_02	Altare della Forza	-586.17	-995.84	587.18	818.56	0	0	360	500000000	90010,50/90011,50/90012,50	20078	4	4	2
14063	FACILITY	himuijedan_03	Altare della Forza	-664.7	-995.84	665.7	896.57	0	0	360	750000000	90010,75/90011,75/90012,75	20079	4	4	2
14071	FACILITY	guildbank_01	Magazzino Gilda	-523.91	-995.84	527.55	750.99	0	0	360	25000000	"90010,25/90011,25/90012,25"	60000	6	1	1
14072	FACILITY	guildbank_02	Magazzino Gilda	-586.17	-995.84	587.18	818.56	0	0	360	500000000	"90010,50/90011,50/90012,50"	60001	6	6	2
14073	FACILITY	guildbank_03	Magazzino Gilda	-664.7	-995.84	665.7	896.57	0	0	360	750000000	"90010,75/90011,75/90012,75"	60002	6	6	2
14074	FACILITY	yonggwangro	Forn. Cristal. Anime	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20423	3	1	1
14075	FACILITY	yonggwangro	Forno di Rubino	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20424	3	1	1
14076	FACILITY	yonggwangro	Forno di Granato	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20425	3	1	1
14077	FACILITY	yonggwangro	Forno di Smeraldo	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20426	3	1	1
14078	FACILITY	yonggwangro	Forno di Zaffiro	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20427	3	1	1
14079	FACILITY	yonggwangro	Forno di Tormalina	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20428	3	1	1
14100	HEADQUARTER	a1-011-workhouse	Casa (1)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1
14101	OBJECT	a1-038-wall-corner	Muro di Pietra (1-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2
14102	OBJECT	a1-038-wall-lin	Muro di Pietra (1-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14103	OBJECT	a1-038-wall-lin2	Muro di Pietra (1-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14104	OBJECT	a1-038-wall-door	Portone (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14105	BUILDIN	a1-set	Muro (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
14110	HEADQUARTER	b1-011-workhouse	Casa (2)	-678.76	-894.26	687.94	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1
14111	OBJECT	b1-038-wall-corner	Muro di Pietra (2-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2
14112	OBJECT	b1-038-wall-lin	Muro di Pietra (2-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14113	OBJECT	b1-038-wall-lin2	Muro di Pietra (2-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14114	OBJECT	b1-038-wall-door	Portone (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14115	BUILDIN	b1-set	Muro (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
14120	HEADQUARTER	c1-011-workhouse	Casa (3)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1
14121	OBJECT	c1-038-wall-corner	Muro di Pietra (3-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2
14122	OBJECT	c1-038-wall-lin	Muro di Pietra (3-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14123	OBJECT	c1-038-wall-lin2	Muro di Pietra (3-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14124	OBJECT	c1-038-wall-door	Portone (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14125	BUILDIN	c1-set	Muro (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
14200	OBJECT	guild_symbol	Stemma della gilda	-45.9	-9.44	42.68	40.13	0	0	360	3000000	90011,5/90012,5	0	0	1	1
14201	WALL	fence01_door01	Muro Frontale	-1000	-54	1000	20	0	0	360	3000000	"90010.50"	0	0	1	1
14202	WALL	fence01_back01	Muro Posteriore	-1000	-18	1000	18	0	0	360	3000000	"90010.50"	0	0	1	1
14203	WALL	fence01_left01	Muro Sinistro	-19	-1362	19	1362	0	0	360	3000000	"90010.50"	0	0	1	1
14204	WALL	fence01_right01	Muro Destro	-18	-1362	18	1362	0	0	360	3000000	"90010.50"	0	0	1	1
14300	OBJECT	general_obj_stone01	Pietra (1)	-116.04	-118.44	116.04	118.44	0	0	360	300000	90010,5	0	0	0	1
14301	OBJECT	general_obj_stone02	Pietra (2)	-118.05	-132.67	118.05	132.67	0	0	360	300000	90010,5	0	0	0	1
14302	OBJECT	general_obj_stone03	Pietra (3)	-133.43	-102.96	133.43	102.96	0	0	360	300000	90010,7	0	0	0	1
14303	OBJECT	general_obj_stone04	Pietra (4)	-104.21	-117.82	104.21	117.82	0	0	360	300000	90010,7	0	0	0	1
14304	OBJECT	general_obj_stone05	Pietra (5)	-171.59	-145.52	171.59	145.52	0	0	360	300000	90010,7	0	0	0	1
14305	OBJECT	general_obj_stone06	Pietra (6)	-192.74	-201.58	192.74	201.58	0	0	360	300000	90010,8	0	0	0	1
14306	OBJECT	general_obj_stone07	Pietra (7)	-183.58	-184.01	183.58	184.01	0	0	360	300000	90010,8	0	0	0	1
14307	OBJECT	general_obj_stone08	Pietra (8)	-66.89	-56.67	66.89	56.67	0	0	360	300000	90010,8	0	0	0	1
14308	OBJECT	general_obj_stone09	Pietra (9)	-65.87	-53.47	65.87	53.47	0	0	360	300000	90010,9	0	0	0	1
14309	OBJECT	general_obj_stone10	Pietra (10)	-182.17	-123.03	182.17	123.03	0	0	360	300000	90010,9	0	0	0	1
14400	OBJECT	B1_PagodaTree_RT	Albero (1)					0	0	360	2000000	90011,5	0	0	0	1
14401	OBJECT	B1_PagodaTree_RT3	Albero (2)					0	0	360	2000000	90011,5	0	0	0	1
14402	OBJECT	B1_Sassafras_RT_Fall	Albero (3)					0	0	360	2000000	90011,7	0	0	0	1
14403	OBJECT	B1_Sassafras_RT_Fall2	Albero (4)					0	0	360	2000000	90011,7	0	0	0	1
14404	OBJECT	B3_ShingleOak_RT2	Albero (5)					0	0	360	2000000	90011,7	0	0	0	1
14405	OBJECT	B2_IvySpy_RT	Albero (6)					0	0	360	2000000	90011,9	0	0	0	1
14406	OBJECT	B2_IvySpy_RT4	Albero (7)					0	0	360	2000000	90011,9	0	0	0	1
14407	OBJECT	B2_JapaneseMaple_RT_Fall	Albero (8)					0	0	360	2000000	90011,9	0	0	0	1
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	Albero (9)					0	0	360	2000000	90011,9	0	0	0	1
20139	OBJECT	flag_a	Banner della gilda (lilla)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1
20140	OBJECT	flag_b	Banner della gilda (blu/verde)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1
20141	OBJECT	flag_c	Banner della gilda (rosso/oro)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1
