DO_YOU_WANT_TO_REMOVE_ITEM	Vuoi rimuovere %s?
CANNOT_SKILL_WAIT_COOLTIME	Non sono ancora in grado di utilizzare questa abilità.
CANNOT_USE	Non la puoi utilizzare.
CANNOT_WHISPER_DEST_REFUSE	%s ha bloccato la chat privata.	SA
CANNOT_WHISPER_NOT_LOGON	%s non è online.	SA
CANNOT_WHISPER_SELF_REFUSE	Non puoi chattare privatamente con gli altri se hai bloccato la Chat privata.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armature
CATEGORY_ARMOR_ARMOR_HEAD	Elmi
CATEGORY_ARMOR_ARMOR_SHIELD	Scudi
CATEGORY_COSTUMES	Costumi
CATEGORY_COSTUMES_COSTUME_BODY	Costumi
CATEGORY_COSTUMES_COSTUME_HAIR	Pettinature
CATEGORY_COSTUMES_COSTUME_WEAPON	Skin per arma
CATEGORY_COSTUMES_ETC	Varie
CATEGORY_COSTUMES_SASH	Stole
CATEGORY_DRAGON_STONE	Alchimia delle Pietre del drago
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granato
CATEGORY_DRAGON_STONE_DRAGON_JADE	Giada
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onice
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubino
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zaffiro
CATEGORY_DRAGON_STONE_ETC	Varie
CATEGORY_EQUIPMENT_ARMOR	Armature
CATEGORY_EQUIPMENT_JEWELRY	Gioielli
CATEGORY_EQUIPMENT_WEAPON	Armi
CATEGORY_ETC	Varie
CATEGORY_ETC_ETC	Varie
CATEGORY_ETC_EVENT	Item eventi
CATEGORY_ETC_GIFTBOX	Bauli | Pacchi
CATEGORY_ETC_MATRIMORY	Matrimonio
CATEGORY_ETC_PARTI	Libri dell'Arte della guerra
CATEGORY_ETC_POLYMORPH	Sfere trasformazione
CATEGORY_ETC_RECIPE	Produzione pozioni
CATEGORY_ETC_SEAL	Legame dell'anima
CATEGORY_FISHING_PICK	Pesca | Scienza mineraria
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picconi appuntiti
CATEGORY_FISHING_PICK_ETC	Varie
CATEGORY_FISHING_PICK_FISHING_POLE	Canne da pesca
CATEGORY_FISHING_PICK_FOOD	Pesci
CATEGORY_FISHING_PICK_PICK_BOOK	Libri di scienza mineraria
CATEGORY_FISHING_PICK_STONE	Minerali
CATEGORY_JEWELRY_ARMOR_EAR	Orecchini
CATEGORY_JEWELRY_ARMOR_FOOTS	Scarpe
CATEGORY_JEWELRY_ARMOR_NECK	Collane
CATEGORY_JEWELRY_ARMOR_WRIST	Bracciali
CATEGORY_JEWELRY_ITEM_BELT	Cinture
CATEGORY_MOUNT_PET	Cavalcature | Pet
CATEGORY_MOUNT_PET_CHARGED_PET	Pet
CATEGORY_MOUNT_PET_EGG	Uova del pet
CATEGORY_MOUNT_PET_FREE_PET	Pet evolvibili
CATEGORY_MOUNT_PET_MOUNT	Cavalcature
CATEGORY_POTION	Pozioni
CATEGORY_POTION_ABILITY	Beni di consumo
CATEGORY_POTION_ETC	Varie
CATEGORY_POTION_HAIRDYE	Colori di capelli
CATEGORY_SKILL	Abilità
CATEGORY_SKILL_BOOK_OF_OBLIVION	Libri dell'Amnesia
CATEGORY_SKILL_ETC	Varie
CATEGORY_SKILL_PAHAE	Contrattacco | Boost
CATEGORY_SKILL_SKILL_BOOK	Libri delle abilità
CATEGORY_TUNING	Miglioramenti
CATEGORY_TUNING_ETC	Varie
CATEGORY_TUNING_RESOURCE	Materiali
CATEGORY_TUNING_STONE	Pietre spirituali
CATEGORY_UNIQUE	Item speciali
CATEGORY_UNIQUE_ABILITY	Beni di consumo
CATEGORY_UNIQUE_ETC	Varie
CATEGORY_WEAPON_WEAPON_ARROW	Frecce
CATEGORY_WEAPON_WEAPON_BELL	Campane
CATEGORY_WEAPON_WEAPON_BOW	Archi
CATEGORY_WEAPON_WEAPON_CLAW	Artigli
CATEGORY_WEAPON_WEAPON_DAGGER	Pugnali
CATEGORY_WEAPON_WEAPON_FAN	Ventagli
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lance
CATEGORY_WEAPON_WEAPON_QUIVER	Faretre
CATEGORY_WEAPON_WEAPON_SWORD	Arma a una mano
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armi a due mani
CHANGE_ALREADY_REGISTER	[Proiezione] Questo oggetto è già stato registrato.
CHANGE_LOOK_CHANGE_ITEM	Vuoi proiettarlo?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Proiezione] Prima rimuovi l'oggetto sul quale desideri applicare la proiezione.
CHANGE_LOOK_COST	Prezzo della proiezione: 50.000.000 Yang
CHANGE_LOOK_DEL_ITEM	L'oggetto assorbito andrà perso.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Proiezione] Questo oggetto non può essere proiettato.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Proiezione] Non puoi proiettare l'oggetto mentre fa parte del tuo equipaggiamento.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Proiezione] Questo oggetto non può essere registrato.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Proiezione] Questo oggetto è legato all'anima.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Proiezione] Registra l'oggetto che desideri proiettare.
CHANGE_LOOK_INSERT_ITEM	[Proiezione] Prima devi registrare l'oggetto.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Proiezione] Non è possibile compiere quest'azione mentre la finestra "Proiezione" è aperta.
CHANGE_LOOK_TITLE	Proiezione
CHANGE_TOOLTIP_LINE1	Poggia a sinistra l'oggetto sul quale si dovrà effettuare la proiezione.
CHANGE_TOOLTIP_LINE2	Poggia l'altro oggetto a destra.
CHANGE_TOOLTIP_LINE3	L'apparenza dell'oggetto si modifica
CHANGE_TOOLTIP_LINE4	quando confermi la proiezione (tasto V) e ti viene sottratto dello Yang.
CHANGE_TOOLTIP_TITLE	Proiezione
CHANNEL	Canale
CHANNELING_CANNOT_LOGOUT	Non puoi tornare alla pagina d'iscrizione.
CHANNEL_EMPTY_SERVER	Nessun server
CHANNEL_NORMAL	Canale %d
CHANNEL_NOTIFY_FULL	Questo canale è pieno! Sei pregato di sceglierne un altro.
CHANNEL_NOT_FIND_INFO	Non ricevi nessuna informazione sul canale.
CHANNEL_PVP	Duello libero
CHANNEL_SELECT_CHANNEL	Scegli il canale
CHANNEL_SELECT_REGION	Scegli il luogo per il conto
CHANNEL_SELECT_SERVER	Scegli il server
CHANNEL_TEST_SERVER	Testa il server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crea personaggio
CHARACTER_SELECT_MODE	Seleziona personaggio
CHAT_ALL	Tutti
CHAT_BLOCK	Blocca
CHAT_DICE_INFO	Tira
CHAT_GUILD	Gilda
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	La frase contiene parole proibite
CHAT_LOG	Mostra i messaggi vecchi [L]
CHAT_LOG_TITLE	Protocollo della chat
CHAT_NORMAL	Normale
CHAT_NOTICE	Server
CHAT_PARTY	Gruppo
CHAT_SEND_CHAT	Invia Chat
CHAT_SEND_MEMO	Invia Chat privata [Shift+Invio]
CHAT_SHOUT	Chiama
CHAT_SHOUT_LIMIT	Puoi chiamare ogni 15 secondi.
CHAT_WHISPER	Chat privata
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Non puoi fare cadere i soldi.
CHEQUE_SYSTEM_PICK_WON	Hai ottenuto %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Prezzo di vendita]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	Questo oggetto non può essere utilizzato.
COMB_CANT_APPEND_SEALED_ITEM	Non si possono utilizzare oggetti legati all'anima.
COMB_COST	Prezzo: %s
COMB_IS_CONTINUE_PROCESS	Desideri continuare?
COMB_NOTICE	Non puoi aprire un negozio privato mentre stai scambiando dei libri.
COMB_NOTICE_NOT_OPEN	Non puoi scambiar libri mentre hai un negozio privato aperto.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Hai bisogno di un 2° costume per poter trasferire dei bonus.
COMB_NOT_FULL_BOOK	No, non ci siamo. Come ti ho già spiegato, sono disposto a fare lo scambio solo se mi porti 10 libri.
COMB_NOT_ITEM_IN_INVENTORY	Non puoi utilizzare oggetti già in uso.
COMB_NOT_MEDIUM_ITEM	Questo oggetto non può essere utilizzato.
COMB_WILL_REMOVE_MATERIAL	Il costume 2 sarà distrutto.
CREATE_ERROR_GM_NAME	Nel nome del personaggio non puoi usare ,GM‘.
CREATE_ERROR_INSULT_NAME	Questo nome non è consentito.
CREATE_ERROR_LIMIT_LEVEL	Il tuo personaggio deve aver raggiunto almeno il livello 80.
CREATE_ERROR_TIME_LIMIT	Puoi solo creare un personaggio ogni 30 secondi.
CREATE_ERROR_WRONG_STRING	Non puoi utilizzare questo nome.
CREATE_EXIST_SAME_NAME	Questo nome è usato da un altro personaggio.
CREATE_FAILURE	Non puoi creare il personaggio.
CREATE_FULL	Non puoi più creare alcun personaggio.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Inserisci il nome.
CREATE_PLUS_STAT	Ci sono ancora punti status disponibili.
DAY	Giorni
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Non è possibile spostare gli oggetti mentre è in corso una richiesta.
DO_YOU_BUY_ITEM1	Vuoi acquistare %s per %s Yang?
DO_YOU_BUY_ITEM2	Vuoi acquistare %s (%s unità) per %s Yang?
DO_YOU_BUY_ITEM1_WON	Vuoi acquistare %s per %s?
DO_YOU_BUY_ITEM2_WON	Vuoi acquistare %s (%s unità) per %s?
DO_YOU_BUY_ITEM3	Desideri comprare %s per %s Won e %s Yang?
DO_YOU_BUY_ITEM4	Desideri comprare %s (%s unità) per %s Won e %s Yang?
DO_YOU_DROP_MONEY	Desideri lasciar cadere %d Yang?
DO_YOU_SELL_ITEM1	Vuoi vendere %s per %s Yang?
DO_YOU_SELL_ITEM2	Vuoi vendere %s (%s unità) per %s Yang?
DRAGON_SOUL_CANNOT_REFINE	Non puoi raffinare questa Pietra del Drago.
DRAGON_SOUL_CANNOT_REFINE_MORE	Questa Pietra del Drago ha già raggiunto il livello più alto.
DRAGON_SOUL_EQUIP_WARNING1	È difficile eliminare nuovamente una Pietra del Drago.
DRAGON_SOUL_EQUIP_WARNING2	Vorresti continuare?
DRAGON_SOUL_EXPIRED	Pietra del Drago scaduta
DRAGON_SOUL_INVALID_DRAGON_SOUL	È la Pietra del Drago sbagliata.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Questa non è una Pietra del Drago.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Non è la giusta Pietra del Drago.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Non hai materiale a sufficienza per il raffinamento.
DRAGON_SOUL_NOT_MATCHED_SLOT	La Pietra del Drago non va bene per questo slot.
DRAGON_SOUL_STEP_LEVEL1	Purezza: opaco,
DRAGON_SOUL_STEP_LEVEL2	Purezza: chiaro,
DRAGON_SOUL_STEP_LEVEL3	Purezza: limpido,
DRAGON_SOUL_STEP_LEVEL4	Purezza: brillante,
DRAGON_SOUL_STEP_LEVEL5	Purezza: eccellente,
DRAGON_SOUL_STRENGTH	Livello: +%d 	SA
DRAGON_SOUL_UNEQUIP_WARNING1	La Pietra del Drago potrebbe distruggersi in questo processo.
DRAGON_SOUL_UNEQUIP_WARNING2	Vorresti continuare?
DRAGON_SOUL_UNMATCHED_SLOT	Questo è lo slot sbagliato.
DRAGON_SOUL_UNQUALIFIED	Non puoi ancora utilizzare l'alchimia delle Pietre del drago.
DROP_ITEM_FAILURE_EQUIP_ITEM	Non puoi lasciar cadere un oggetto che è in uso.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Non puoi lasciar cadere un oggetto se hai un negozio privato aperto.
DROP_MONEY_FAILURE_1000_OVER	Puoi lasciar cadere massimo 999 Yang.
EMOTION_ANGRY	Arrabbiato
EMOTION_ATTRACTIVE	Seduzione
EMOTION_BANTER	Scherzoso
EMOTION_CHEERS_1	Esulto 1
EMOTION_CHEERS_2	Esulto 2
EMOTION_CHEERUP	Gioire
EMOTION_CHOOSE_ONE	Scegli bersaglio.
EMOTION_CLAP	Applauso
EMOTION_CLAP_KISS	Bacio
EMOTION_CONGRATULATION	Approvazione
EMOTION_DANCE_1	Ballare 1
EMOTION_DANCE_2	Ballare 2
EMOTION_DANCE_3	Ballare 3
EMOTION_DANCE_4	Ballare 4
EMOTION_DANCE_5	Ballare 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Perdono
EMOTION_FRENCH_KISS	Bacio con la lingua
EMOTION_JOY	Felicita'
EMOTION_SAD	Triste
EMOTION_SHY	Rifiuto
EMOTION_SLAP	Colpo
EMPIRE_A	Regno Shinsoo
EMPIRE_B	Regno Chunjo
EMPIRE_C	Regno Jinno
EMPIRE_SELECT_MODE	Seleziona regno
EXCHANGE_CANNOT_GIVE	Quest'oggetto non è commerciabile.
EXCHANGE_CANT_EDIT_MONEY	Non puoi modificare il prezzo ora.
EXCHANGE_FAILURE_EQUIP_ITEM	Non puoi scambiare gli oggetti in uso.
EXCHANGE_MONEY	Prezzo
EXCHANGE_TITLE	Commercia con %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Ampliamenti dell'inventario mancanti: %d.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Il tuo inventario ha già raggiunto il numero massimo di Ampliamenti.
EXINVEN_USE_ITEM_QUESTION	Desideri ampliare il tuo inventario con %d Ampliamenti dell'inventario?
FISHING_FAILURE	Hai perso l'esca.
FISHING_NOTIFY1	Sembrerebbe che %s abbia abboccato.
FISHING_NOTIFY2	Sembrerebbe che %s sia stato catturato.
FISHING_SUCCESS1	Ne hai catturati %s!
FISHING_SUCCESS2	Hai pescato %s!
FISHING_UNKNOWN	Qualcosa ha abboccato ma non sai cosa sia.
FISHING_WRONG_PLACE	Qui non posso pescare.
FOR_FEMALE	Per Donne
FOR_MALE	Per Uomini
GAME_CANNOT_MINING	Non puoi estrarre minerali mentre sei a cavallo.
GAME_CANNOT_PICK_ITEM	Non puoi raccogliere l'oggetto perchè non lo hai razziato tu.
GAME_GUILDWAR_NOW_JOIN	Vuoi partecipare alla guerra tra gilde?
GAME_INIT_ERROR_CURSOR	Non si è potuto creare la freccia del mouse.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 deve essere installata per poter eseguire il gioco.\nInstalla DirectX 8.1 o maggiore.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Non è stata trovata nessuna scheda grafica compatibile con il gioco.\nControlla che la tua scheda VGA sia installata correttamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Non è stato possibile eseguire la grafica.\nControlla se possiedi una scheda VGA.\nIn alternativa puoi attivare l'accelerazione Hardware \n(Metti l'accelerazione Hardware al massimo \nPannello di controllo->Schermo->Impostazioni->Avanzate->Risoluzione problemi)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La scheda grafica del PC non supporta la modalità finestra in 32bit.\nModifica in modalità 16bit o usa la modalità a tutto schermo.
GAME_INIT_ERROR_ITEM_PROTO	I dati degli oggetti non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_MAIN_WINDOW	Non è stato possibile creare la finestra principale.
GAME_INIT_ERROR_MOB_PROTO	I dati dei mostri non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_NETWORK	Non è stato possibile creare la connessione.\nControlla la tua connessione ad internet.
GAME_PICK_MONEY	Hai ricevuto %d Yang.
GUILDBANK_CLEARBANK	Attenzione: si deve svuotare il Magazzino della Gilda
GUILDBANK_DONT_MONEY_OUT	Nella banca della gilda non ci sono Yang.
GUILDBANK_GOLD_IN	Versamento
GUILDBANK_GOLD_OUT	Prelievo
GUILDBANK_ITEM_IN	Deposita
GUILDBANK_ITEM_OUT	Metti in vendita
GUILDBANK_MONEYIN	Versa Yang
GUILDBANK_MONEYOUT	Preleva Yang
GUILDBANK_NOTUSE	Non possiedi i diritti per eseguire questa azione.
GUILDBANK_NOT_ENOUGH_MONEY	Non ha molti Yang da versare.
GUILDBANK_OVER_INCOME	È stato raggiunto il limite del conto.
GUILDBANK_OVER_MONEY	Il conto della gilda è pieno.
GUILDLAND_ABANDON	Cedi terreno della gilda
GUILDLAND_ABANDON_VOTE	Cedi il terreno della tua gilda [%s].
GUILDLAND_ABANDON_VOTE_RESULT1	Si è ceduto il terreno della gilda [%s].
GUILDLAND_ABANDON_VOTE_RESULT2	Il terreno della gilda è stato ceduto.
GUILDLAND_ABANDON_VOTE_RESULT3	Risultato del sondaggio:
GUILDLAND_ABANDON_VOTE_RESULT4	Il sondaggio non è valido.
GUILDLAND_ABANDON_VOTE_TEXT	Vuoi davvero iniziare il sondaggio?
GUILDLAND_ABANDON_VOTE_TEXT1	Voti a favore della cessione del terreno della gilda?
GUILDLAND_ACCEPT	Sì
GUILDLAND_DEAL	Vendi terreno della gilda
GUILDLAND_DEAL_TEXT1	La gilda [%s] vuole vendere
GUILDLAND_DEAL_TEXT2	il proprio terreno della gilda per %s Yang.
GUILDLAND_DEAL_TEXT3	Accetti l'offerta?
GUILDLAND_DELA_VOTE	La gilda [%s] vuole acquistare il nostro terreno.
GUILDLAND_DELA_VOTE_RESULT1	Vendita del terreno alla gilda [%s].
GUILDLAND_DELA_VOTE_RESULT2	Il sondaggio è terminato.
GUILDLAND_DELA_VOTE_RESULT3	Risultato del sondaggio per la vendita del terreno:
GUILDLAND_DELA_VOTE_RESULT4	Il sondaggio non è valido.
GUILDLAND_DELA_VOTE_TEXT	A quale gilda vuoi vendere il terreno della gilda?
GUILDLAND_DELA_VOTE_TEXT1	Voti a favore della vendita del terreno della gilda?
GUILDLAND_DONTHAVE_LAND	Non possiedi alcun terreno della gilda.
GUILDLAND_NOT	No
GUILDLAND_VOTE_TEXT	Vuoi cedere il terreno a [%s]?
GUILDLIST_APPLICANT	Vuoi candidarti?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	L'altezza non è di 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	L'altezza non è di 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	La larghezza non è di 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	La larghezza non è di 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Il gioco non supporta questa immagine.
GUILDMARK_UPLOADER_ERROR_PATH	Sposta il file nella cartella metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Non hai scelto nessuna immagine.
GUILDVOTE_CHANGEMASTER	Cambia Capo della gilda
GUILDVOTE_CHANGEMASTER_RESULT1	La gilda è stata ceduta con successo.
GUILDVOTE_CHANGEMASTER_RESULT2	Ti è stata ceduta la gilda [%s].
GUILDVOTE_CHANGEMASTER_RESULT3	Cedi la gilda al membro [%s].
GUILDVOTE_CHANGEMASTER_RESULT4	Il sondaggio non è valido.
GUILDVOTE_CHANGEMASTER_RESULT5	Nuovo Capo della gilda: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Vuoi cedere la gilda a [%s]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Vuoi davvero rinunciare alla dirigenza della gilda?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Cedi la gilda al membro [%s].
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Voti a favore della cessione della gilda?
GUILDVOTE_MEMBEROUT	Espelli membro
GUILDVOTE_MEMBEROUT_AUTH	Non possiedi i diritti per eseguire questa azione.
GUILDVOTE_MEMBEROUT_NOMAL	Vuoi davvero allontanare questo membro?
GUILDVOTE_MEMBEROUT_RESULT1	Membro allontanato: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Risultato del sondaggio
GUILDVOTE_MEMBEROUT_RESULT3	Ti hanno espulso dalla gilda [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Risultato del sondaggio
GUILDVOTE_MEMBEROUT_RESULT5	Il sondaggio non è valido.
GUILDVOTE_MEMBEROUT_TEXT1	Vuoi iniziare il sondaggio contro [%s]?
GUILDVOTE_MEMBEROUT_TEXT2	Sondaggio: espellere questo membro dalla gilda?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Sondaggio: si deve espellere [%s] dalla gilda?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Contro
GUILDVOTE_OK	A favore
GUILDVOTE_RESULT_AGGRE_MEMBER	Favorevoli: %d
GUILDVOTE_RESULT_ALL_MEMBER	Partecipanti: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Contrari: %d
GUILDVOTE_RESULT_TIME	%d giorni %d ore %d minuti %d secondi
GUILDVOTE_SELECT_ONE	Scegli un personaggio.
GUILDWAR_ALL	Combattimenti (C)
GUILDWAR_CTF_TITLE	Battaglia per la bandiera
GUILDWAR_DRAW	Parità (P)
GUILDWAR_GAINSCORE_FIFTY	50 punti
GUILDWAR_GAINSCORE_HUNDRED	100 punti
GUILDWAR_GAINSCORE_THIRTY	30 punti
GUILDWAR_GAMETIME_SIXTY	60 minuti
GUILDWAR_GAMETIME_TEN	10 minuti
GUILDWAR_GAMETIME_THIRTY	30 minuti
GUILDWAR_INPUT_OTHERGUILD	Registra gilda avversaria.
GUILDWAR_LADDER	Punti karma
GUILDWAR_LIMIT_MEMBER_FIVE	Numero minimo di partecipanti: 5.
GUILDWAR_LOSE	Sconfitta (S)
GUILDWAR_NORMAL_TITLE	Battaglia campale
GUILDWAR_OVER_MEMBERCOUNT	Hai raggiunto il limite di membri.
GUILDWAR_QUESTION_LINE_1	La Gilda %s ha dichiarato guerra alla tua Gilda.
GUILDWAR_QUESTION_LINE_2	Accetti? (%s)
GUILDWAR_RANKING	Rango
GUILDWAR_RECODE_ALL	%d C; %d V; %d S; %d P
GUILDWAR_SELECT_MEMBER_COUNT	Scegli il numero dei partecipanti.
GUILDWAR_TYPE_DEFENSE	Battaglia difensiva
GUILDWAR_TYPE_TIGER	Battaglia di annientamento
GUILDWAR_TYPE_TIME	Attacco a tempo
GUILDWAR_UNKNOWN_TITLE	...
